,code_name,repository,commit_hash,path,start_line,end_line,link,is_from_industry_relevant_project,severities,avg,file
0,com.alibaba.android.arouter.facade.model.RouteMeta#toString,git@github.com:alibaba/ARouter.git,93b328569bbdbf75e4aa87f0ecf48c69600591b2,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java,200,213,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java/#L200-L213,1.0,"[0, 0]",0.0,data/RouteMeta.java
1,com.alibaba.android.arouter.facade.enums.#getClassName,git@github.com:alibaba/ARouter.git,93b328569bbdbf75e4aa87f0ecf48c69600591b2,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java,32,34,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java/#L32-L34,1.0,"[0, 0]",0.0,data/RouteType.java
2,com.alibaba.otter.canal.protocol.CanalPacket.Unsub.Builder#buildPartial,git@github.com:alibaba/canal.git,08167c95c767fd3c9879584c0230820a8476a7a7,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java,7011,7019,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java/#L7011-L7019,1.0,"[0, 0]",0.0,data/CanalPacket.java
3,com.taobao.tddl.dbsync.binlog.LogBuffer#getBeUint24 int,git@github.com:alibaba/canal.git,08167c95c767fd3c9879584c0230820a8476a7a7,/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java,441,449,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java/#L441-L449,1.0,"[0, 0]",0.0,data/LogBuffer.java
4,com.taobao.tddl.dbsync.binlog.LogBuffer#getUlong56,git@github.com:alibaba/canal.git,08167c95c767fd3c9879584c0230820a8476a7a7,/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java,791,800,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java/#L791-L800,1.0,"[0, 0]",0.0,data/LogBuffer (1).java
5,com.alibaba.otter.canal.protocol.CanalEntry.Entry.Builder#mergeFrom com.google.protobuf.Message,git@github.com:alibaba/canal.git,08167c95c767fd3c9879584c0230820a8476a7a7,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,956,963,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L956-L963,1.0,"[0, 0]",0.0,data/CanalEntry.java
6,com.alibaba.otter.canal.protocol.CanalEntry.Header.parseFrom byte[]|com.google.protobuf.ExtensionRegistryLite,git@github.com:alibaba/canal.git,08167c95c767fd3c9879584c0230820a8476a7a7,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,2389,2394,https://github.com/alibaba/canal/blob/08167c95c767fd3c9879584c0230820a8476a7a7/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java/#L2389-L2394,1.0,"[0, 0]",0.0,data/CanalEntry (1).java
7,com.android.aapt.Resources.Source.parseFrom com.google.protobuf.CodedInputStream|com.google.protobuf.ExtensionRegistryLite,git@github.com:alibaba/atlas.git,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,/atlas-gradle-plugin/atlas-plugin/src/main/java/com/android/aapt/Resources.java,1339,1345,https://github.com/alibaba/atlas/blob/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-gradle-plugin/atlas-plugin/src/main/java/com/android/aapt/Resources.java/#L1339-L1345,1.0,"[0, 0]",0.0,data/Resources.java
8,com.taobao.android.dx.merge.IndexMap#adjustAnnotationDirectory int,git@github.com:alibaba/atlas.git,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/merge/IndexMap.java,160,162,https://github.com/alibaba/atlas/blob/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/merge/IndexMap.java/#L160-L162,1.0,"[0, 0]",0.0,data/IndexMap.java
9,android.taobao.atlas.framework.bundlestorage.BundleArchiveRevision.BundleArchiveRevision String|File|File,git@github.com:alibaba/atlas.git,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,/atlas-core/src/main/java/android/taobao/atlas/framework/bundlestorage/BundleArchiveRevision.java,301,332,https://github.com/alibaba/atlas/blob/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-core/src/main/java/android/taobao/atlas/framework/bundlestorage/BundleArchiveRevision.java/#L301-L332,1.0,"[1, 0, 1, 0]",0.5,data/BundleArchiveRevision.java
10,com.taobao.android.dx.command.dexer.Main.ClassDefItemConsumer.ClassDefItemConsumer String|Future<ClassDefItem>|int|int,git@github.com:alibaba/atlas.git,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/command/dexer/Main.java,1879,1885,https://github.com/alibaba/atlas/blob/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/command/dexer/Main.java/#L1879-L1885,1.0,"[0, 0]",0.0,data/Main.java
11,com.android.aapt.Resources.Item.Builder#setPrim com.android.aapt.Resources.Primitive,git@github.com:alibaba/atlas.git,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,/atlas-gradle-plugin/atlas-plugin/src/main/java/com/android/aapt/Resources.java,8680,8684,https://github.com/alibaba/atlas/blob/e8c7b3f1ff14b2a1df64321c6992b796cae7d732/atlas-gradle-plugin/atlas-plugin/src/main/java/com/android/aapt/Resources.java/#L8680-L8684,1.0,"[0, 0]",0.0,data/Resources (1).java
12,com.alibaba.jvm.sandbox.core.util.SandboxStringUtils.getCauseMessage Throwable,git@github.com:alibaba/jvm-sandbox.git,5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e,/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/SandboxStringUtils.java,65,70,https://github.com/alibaba/jvm-sandbox/blob/5ff3554ce2fcbe5eb9dd0ecc01c31a1d53c3c12e/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/SandboxStringUtils.java/#L65-L70,1.0,"[0, 0]",0.0,data/SandboxStringUtils.java
